Date,Open,High,Low,Close,Adj Close,Volume
2019-03-01,136.8362427,138.9952698,136.4347839,136.4436188,136.4436188,3756124824
2019-03-02,136.3500824,137.1847992,132.4363861,134.206955,134.206955,3747176425
2019-03-03,134.7861176,135.8492889,131.3288574,132.2494202,132.2494202,3454374053
2019-03-04,132.1578827,132.7291412,125.4027023,127.7741241,127.7741241,4008171341
2019-03-05,127.7929535,138.2299805,126.7352982,137.8223877,137.8223877,4764849990
2019-03-06,137.9587402,139.9688263,136.1459198,138.7893524,138.7893524,4589054219
2019-03-07,138.9423828,140.8578796,137.2731323,138.0345001,138.0345001,4339206292
2019-03-08,138.3113556,139.4990997,133.5576935,135.1270752,135.1270752,4678816794
2019-03-09,134.887558,139.1194153,134.677124,137.965332,137.965332,5011918715
2019-03-10,138.1804962,138.2703094,135.6856842,136.7586823,136.7586823,4578438499
2019-03-11,136.8495331,137.3534088,133.1027985,133.8340302,133.8340302,4689807419
2019-03-12,134.0128479,135.273468,130.9441528,134.4428864,134.4428864,4709988000
2019-03-13,134.6117706,134.6117706,132.7197266,133.2630768,133.2630768,4265162099
2019-03-14,133.2039032,135.1808472,132.7500763,133.7115936,133.7115936,4476532147
2019-03-15,133.5671539,138.3951416,133.5671539,137.6917877,137.6917877,4506861856
2019-03-16,137.9119568,144.5584412,137.9119568,142.3981781,142.3981781,4839003569
2019-03-17,142.2382965,142.3719177,139.3235168,140.0005493,140.0005493,3827157729
2019-03-18,140.1048584,142.2672119,138.8415527,139.3746033,139.3746033,4551739879
2019-03-19,139.2540131,140.9890594,139.1430206,140.5191956,140.5191956,4251488129
2019-03-20,140.4847107,140.9455719,138.3070374,140.6863556,140.6863556,4664134462
2019-03-21,140.4784851,141.0032349,135.855423,136.6360626,136.6360626,5087247796
2019-03-22,136.5622559,138.7942963,136.2286072,137.1814423,137.1814423,4490899266
2019-03-23,137.0398712,139.3853912,136.9120178,138.2398682,138.2398682,4436568613
2019-03-24,138.3153534,138.3756104,136.3137512,136.9869232,136.9869232,4266845458
2019-03-25,137.0813599,137.695343,133.4901581,135.0310211,135.0310211,4480516753
2019-03-26,135.0543213,135.4603577,133.7573395,135.4603577,135.4603577,4499271679
2019-03-27,135.454361,141.07547,135.3416595,140.9881592,140.9881592,5228240093
2019-03-28,141.0058441,141.0079346,138.4251709,139.4164734,139.4164734,4163212475
2019-03-29,139.3432007,142.5492401,138.045105,142.4974213,142.4974213,5125602702
2019-03-30,142.3591461,149.6132355,141.0317383,142.0926819,142.0926819,5144662127
2019-03-31,142.1392212,142.189209,140.6973724,141.5140991,141.5140991,4249050197
2019-04-01,141.4654846,142.7339935,140.7375641,141.8303223,141.8303223,4611999536
2019-04-02,141.8395233,165.2268219,141.6364594,163.9617462,163.9617462,9826645698
2019-04-03,164.0086365,178.322052,157.3221436,161.4588013,161.4588013,10622456246
2019-04-04,161.4317627,164.9292145,155.2411041,158.052536,158.052536,7953123529
2019-04-05,158.0200043,167.2203827,157.4439545,165.5148468,165.5148468,7531316908
2019-04-06,165.5112457,172.5157776,161.799469,165.9472046,165.9472046,7167016221
2019-04-07,165.9772491,175.2131653,164.9320984,174.5316467,174.5316467,7596176020
2019-04-08,174.4496765,184.3778534,174.1609955,180.2588196,180.2588196,9304964610
2019-04-09,180.2221222,180.2542267,175.0917511,176.1145782,176.1145782,7632529578
2019-04-10,176.0678406,183.1342773,175.2303772,177.3374786,177.3374786,7856924879
2019-04-11,177.3427582,177.4874878,162.3206177,165.4970245,165.4970245,7859383417
2019-04-12,165.3352051,166.1275177,161.0297394,164.7363281,164.7363281,6237185309
2019-04-13,164.6228485,166.3624268,163.0118561,164.5133514,164.5133514,4959301561
2019-04-14,164.4760895,168.5910339,162.7814789,167.8385162,167.8385162,4846298303
2019-04-15,167.8974762,168.8184509,159.5557404,161.574173,161.574173,5672311824
2019-04-16,161.5265503,167.6663208,160.8887482,167.6234436,167.6234436,5180105341
2019-04-17,167.5536957,168.9385834,165.5018921,166.9507599,166.9507599,5596102715
2019-04-18,166.913208,175.3653259,166.6721191,173.8140259,173.8140259,6971581464
2019-04-19,173.7878876,173.9788971,170.6202087,173.7084351,173.7084351,6541053061
2019-04-20,173.718811,176.7058105,171.7888336,173.7512665,173.7512665,6142567812
2019-04-21,173.7154083,174.4207764,167.4285889,170.046524,170.046524,6005571688
2019-04-22,170.0174866,173.0691223,168.7295532,171.8746643,171.8746643,6094878077
2019-04-23,172.0072174,176.8507843,170.896759,171.4477997,171.4477997,7097827092
2019-04-24,171.3495331,171.5732117,161.9766846,165.8260956,165.8260956,7351304156
2019-04-25,165.9147339,166.5134125,153.8470001,154.4593964,154.4593964,6820332362
2019-04-26,154.5794373,158.029007,152.0856781,156.3470917,156.3470917,7505283355
2019-04-27,156.2708588,160.5894165,155.6218872,158.4349365,158.4349365,5863109118
2019-04-28,158.4997711,159.5653839,157.1255188,157.2950745,157.2950745,5379894433
2019-04-29,157.2910614,158.3339233,153.1865234,155.2019958,155.2019958,6053776253
2019-04-30,155.1727753,162.432251,155.1727753,162.1660309,162.1660309,6275803460
2019-05-01,162.186554,164.0606842,159.6602173,160.8183441,160.8183441,5789172433
2019-05-02,160.8535767,162.9370117,160.0606995,162.1227875,162.1227875,6044171062
2019-05-03,162.0751648,170.0687408,161.0806274,167.9524078,167.9524078,7299410672
2019-05-04,167.8872223,170.6459351,161.7914276,164.0265808,164.0265808,6658100049
