Date,Open,High,Low,Close,Adj Close,Volume,
2019-03-01,10.35693073,11.60748863,10.325634,11.39321709,11.39321709,117838677,
2019-03-02,11.38469315,11.91575336,10.96081638,11.8697443,11.8697443,120807894,
2019-03-03,11.84530544,11.96497917,11.35206413,11.53790283,11.53790283,89868246,
2019-03-04,11.53801346,11.59940529,11.07054329,11.54594517,11.54594517,89421231,
2019-03-05,11.52038765,13.84144306,11.52038765,13.8119669,13.8119669,237026335,
2019-03-06,13.75028801,14.55545712,13.1126709,14.51794624,14.51794624,191016822,
2019-03-07,14.52531242,15.64514256,14.44420242,15.14588642,15.14588642,236520320,
2019-03-08,15.22614765,15.32236767,13.76134586,14.36693573,14.36693573,227303083,
2019-03-09,14.28460312,14.94898224,14.10533619,14.56587887,14.56587887,160640089,
2019-03-10,14.56690311,14.60217094,14.07328987,14.49443913,14.49443913,140866074,
2019-03-11,14.49840069,14.96726418,14.21739292,14.51441383,14.51441383,152327295,
2019-03-12,14.49593639,15.50733757,14.32499695,15.40613079,15.40613079,169525508,
2019-03-13,15.42757797,15.44845963,15.09764576,15.11512375,15.11512375,145402739,
2019-03-14,15.11926079,15.23184109,14.74800873,15.05110359,15.05110359,137039682,
2019-03-15,15.03313828,15.29823494,15.00915623,15.07710171,15.07710171,124146334,
2019-03-16,15.05210876,16.16026115,15.02148914,16.11901093,16.11901093,143423670,
2019-03-17,16.08924103,16.09711647,15.68274212,15.76114559,15.76114559,131687083,
2019-03-18,15.75499535,15.94178009,15.40462685,15.6820116,15.6820116,132882167,
2019-03-19,15.67578506,16.01011848,15.41341496,15.69359493,15.69359493,216950178,
2019-03-20,15.69217777,15.72344112,15.17873573,15.28002262,15.28002262,136054765,
2019-03-21,15.28180695,15.45404625,14.33874798,14.51739311,14.51739311,152779939,
2019-03-22,14.49511147,15.31847286,14.39244556,15.26642418,15.26642418,149753510,
2019-03-23,15.24981022,15.54673004,15.10373592,15.23599529,15.23599529,143128548,
2019-03-24,15.24113178,17.37795448,14.9154501,17.28535652,17.28535652,314554203,
2019-03-25,17.24900627,17.41622353,16.21628571,16.84100723,16.84100723,199413830,
2019-03-26,16.75864983,16.82707787,15.77837944,16.33566475,16.33566475,186112032,
2019-03-27,16.28869438,16.95520973,16.04911041,16.78134346,16.78134346,202275822,
2019-03-28,16.77707863,16.91225624,16.61022186,16.80533028,16.80533028,189454288,
2019-03-29,16.80263138,16.89576721,16.4532795,16.51014137,16.51014137,172002338,
2019-03-30,16.49219894,17.24379539,16.06657791,16.93221283,16.93221283,182021376,
2019-03-31,16.93221283,17.5683403,16.77244377,17.40167046,17.40167046,199990283,
2019-04-01,17.41063881,18.05897522,17.29107475,17.9505024,17.9505024,202977286,
2019-04-02,17.96062469,19.92114258,17.69179344,19.78978348,19.78978348,264406306,
2019-04-03,19.79978371,20.0717144,18.42963791,18.7530632,18.7530632,254862222,
2019-04-04,18.74346733,19.54536819,18.447649,19.14268875,19.14268875,214630296,
2019-04-05,19.13921547,19.5309124,18.94145584,19.45346642,19.45346642,181774781,
2019-04-06,19.46041107,19.47481155,18.89247131,19.1156292,19.1156292,155317547,
2019-04-07,19.10643005,19.26976395,18.90872765,19.11027145,19.11027145,149525473,
2019-04-08,19.07906914,19.09057617,18.07328033,18.11370277,18.11370277,178255322,
2019-04-09,18.11370277,18.64446831,17.3200016,18.43505287,18.43505287,203380139,
2019-04-10,18.42551422,18.68794632,18.1172657,18.24857903,18.24857903,180291307,
2019-04-11,18.27806854,18.28696632,16.58921623,17.70047951,17.70047951,159364357,
2019-04-12,17.68914986,18.63387871,16.8091507,18.43427086,18.43427086,171773154,
2019-04-13,18.43653679,18.71979713,18.15099144,18.71979713,18.71979713,167393154,
2019-04-14,18.71337891,20.00779343,18.53243828,19.49201965,19.49201965,189084742,
2019-04-15,19.49201965,19.89594078,18.88889694,19.40242577,19.40242577,176699111,
2019-04-16,19.38716888,19.85583496,18.79381752,19.82745552,19.82745552,174830782,
